,description,fintech
362,"MarketRiders is a robo advisor that provides DIY investment advice and information, along with a Managed Service for investors who want assistance.",1
14,Wealthfront is an app-based financial advisor that provides personalized investment advice and automated portfolio management.,1
1077,"MVRx is a medical device company that introduces ARTO System, a transcatheter annular reduction therapy. The ARTO System is a unique endovascular therapy for mitral valve regurgitation associated with congestive heart failure. The system treats heart failure by reducing the backward leakage of blood through the mitral valve thereby increasing the forward flow of blood to the rest of the body. ARTO directly reshapes the mitral annulus and improves leaflet coaptation by shortening the minor axis of the mitral valve through inward displacement of the septal and lateral walls. This reestablishes normal anatomic relationships and decreases regurgitation.",0
149,"Robinhood is a commission-free stock trading app that allows users to buy and sell stocks, ETFs, and options without paying any fees.",1
2513,"Our brand is a known leader in the mortgage industry. Our success resides in our ability to offer a diverse line of mortgage products, from first time home buyers’ mortgages to rehabilitation mortgages to reverse mortgages. We offer mortgage solutions for all agesand financial situations from young borrowers to senior borrowers. ",1
859,"SwissMetrics enhances the way companies monitor their credit risk from customers, suppliers and acquisitions. Developed by finance professionals, the SaaS platform allows smarter collaboration within companies, along with best practice and innovative credit analytics, to work for a common goal which is saving money through credit risk minimization.",1
2890,Unext provides tech-driven insurance solutions to change the traditional approach to insurance.,1
2238,"Premier Health is a Canadian Healthtech company that provides a comprehensive range of outsourced services solutions for healthcare needs to governments, corporations, and individuals. Premier Health uses its proprietary PSweb software platform to lead the healthcare services sector digital transformation to provide patients with faster, cheaper and more accessible care services.",0
1932,"Address: 1 Research Ct, Suite 450, Rockville, MD 20850, USA",0
985,Weichert Financial Services specializes in providing financial services for the real estate industry.,1
480,"Plaza create honsha Co is a Japan-based company mainly engaged in the photography, video and communications businesses.",0
1179,"Walk on Wheels works with customers and medical professionals to provide the best mobility solutions for any circumstance. Based in Auckland, Walk on Wheels provides a full product range, competitive prices, full sales, rental, and repair options, as well as in-home demos and a large showroom store. Walk on Wheels not only sells a full range of mobility equipment but offer hire services and repairs as well. Equipment can be rented on a short or long-term basis. Walk on Wheels takes pride in the repairs and maintenance services they provide, and customers can buy with confidence knowing that all products come with full warranties. However, if any equipment repairs are required due to wear and tear, services can be provided at their in-store workshop. With a wide range of quality, comfortable products including wheelchairs, electric scooters, power chairs, lift chairs, crutches, adjustable beds, and more, Walk on Wheels has the perfect solution for any circumstance. Recognised as one of Auckland's leading mobility specialists with a wide and growing range of daily living aids and simple tools to take the struggle out of daily chores, the friendly staff at Walk on Wheels have years of experience helping Kiwis regain their lost mobility. Visit the Walk on Wheels website today to learn more!",0
577,"Finance of America Companies provides a diverse selection of lending products and services that meet customers’ financial needs throughout each phase of their lives. From home loans and reverse mortgages, to commercial real estate loans, to student loans, to a variety of other financial services, it deliver a positive customer experience and dobusiness with a personal touch.",1
327,"SaaS payment solutions for established banks, startup fintechs, and everyone in between.",1
1891,"SA Technologies (SAT) is one of the leading IT Consulting Companies in Santa Clara. We are Microsoft Gold Partner and an Oracle Gold Certified Partner. We have a proven record of building highly scalable, world-class consulting processes that offer tremendous business advantages to our clients in the form of huge cost-benefits, definitive results and consistent project deliveries across the globe. SA Technologies is one of the leading IT Consulting Companies in the world with proven expertise and 16+ years of experience in IT Consulting Services, Enterprise Project Solutions, Oracle Services and RPO Solutions.",0
1449,"Address: 11262 Township Rd 266, Lakeview, OH 43331, USA",0
2628,"Provider of lending services. The company specializes in providing mortgage loans, rural housing loans, home renovation, and other loan services.",1
757,"An online multi-banking platform for digital CFOs, Pinv makes it possible to forecast cash flows and intercept moments of tension, monitor
the economic and financial cycle, integrate bank accounts, automate administrative activities and access credit more easily. The startup's
mission is to manage everything from a single platform, in a simple and automated way and without technical skills, saving users time and
costs in business management.",1
1767,"Address: 11405 Gravois Rd, Saint Louis, MO 63126, USA",0
1293,"PencilBox Training Institute. It helps people to develop their skill for the last two years. We know every skill is learnable and we make it easy for our students. Our main objective is to help our students in a platform where excellence and skill are the key points. We help with all our experiences & learning strategies, which helps to develop today's young talents. Providing international quality training, we encourage to build themselves as a successful freelancer. Eventually, culture is important for us and it forms our foundation So make a wise choice and get to the future with our institution and have a hands-on learning experience today!",0
1075,"At Revero, our mission is to reverse autoimmune and other chronic diseases by addressing the root causes. Our digital clinic integrates nutritional therapy and clinical expertise with machine learning and digital tools to deliver data-driven continuous remote care. Founded in 2019, the company is headquartered in San Francisco, California.",0
1718,"Address: 133 E Main St, #A, Azle, TX 76020, USA",0
474,"Established in the year 2015, Siqsound recording studio have served and contributed to the entertainment industry in various capacities across Africa and Nigeria in particular. At Siqsound recording studio, we offer top quality music production services. We produce original tracks for our clients using experienced producers, musicians, and writers. Let us bring your song ideas to life. We can create the music and melody for your songs in the genre of your choice. Be it afrobeat music, hip hop, rap or highlife recording, mixing & mastering or songwriting services, Visit Our Musical Recording Studio now at Tip-top bus stop, Rumuigbo, Port Harcourt. We can also work remotely with clients in areas that are not near by, for more details please contact us now.",0
2506,Human Resource Application that automates recruitment process using Artificial Intelligence algorithms,0
1579,"Address : 17515 Orange Belt Dr, Porterville, CA 93257, USA",0
91,"Our award-winning group of technologies, known as Teleroo®, is at work for hospitals, schools, and in patient’s homes; delivering remarkable outcomes, higher quality care, and improved quality of life for patients, families, and practitioners. Teleroo® is clinician-led and informed and is based on the deep expertise of our service team along with our research affiliations. We want to get Teleroo® working for you.",0
668,"Data Compass is a global platform that connects software developers with great companies. It allows developers to show their superhuman coding strength in just 38 minutes. Score well and be invited to ''Fast Track'' the interview process at leading tech companies. It was founded in 2019 and is headquartered in San Jose, California.",0
2163,Personalized Nutrition Plans for Weight Loss and Muscle Gain,0
628,"With payment and credit card marketing expertise acquired in Japan, we will offer innovative and customer-friendly payment and marketing services in America.",1
908,"We are a data-driven culture thriving on culture-driven data. We create and deliver ecosystems that nurture optimization, efficiency, and scalability to enhance the user experience while maximizing revenue—our team, comprised of award-winning designers, developers, and thought leaders from around the globe.",0
2765,"Revolve is building the world’s only surgical robot designed for every operating room. Its simple yet powerful design makes it the only robot that can service the over 1 million abdominal surgeries performed outside of hospitals in the US. The company was founded in 2019 and is headquartered in Toronto, Ontario.",0
2513,"Brand Capital International (BCI), headquartered in the US, is the strategic investment arm of the Times Group. BCI works with the global entrepreneur eco-system and provides branding expertise and intellectual capital to help entrepreneurs: understand the intricacies of the Indian business landscape; by helping plan and build effective corporate branding strategies to generate growth; and provide enterprise value creation. The innovative idea of BCI is to leverage the brand-building power of the Times Group’s media properties in order to create value for emerging start-ups & high growth companies. While companies can acquire funding for growth and working capital, brand-building investments rarely attract interest from the funding community. This is especially true for brands which are new category creators – because brand investments need to be large and sustainable, compared to the hard asset investments. The Times Group's investment arm Brand Capital, now partners with more than 900 investee companies across sectors as wide as Education Technology, Healthcare, Consumer Products, Gaming & Entertainment, Digital and Mobile, Financial Technology, and several more. Since the inception of this business over a decade ago, Brand Capital has helped build several iconic global brands, and its invested value today is over $4.0 billion.",0
1069,"We are Inspired for Innovation, a purpose-led organization that is empowering businesses across the globe with innovation, technology, and experts’ knowledge. We aspire and are considered as PARTNER OF SUCCESS by our team and clients.   Techsaga is true and consolidated backend technology and digital partner, helping startups, products, SMB’s and Enterprises to accelerate for a better digital ecosystem. Leading our clients from Innovation to Execution for Extent to Prominence. We are progressive to prove our value in digital transformation partnerships everyday day, with leveraging strategy, collective knowledge, planning, and professionals’ capabilities to power businesses forward.  Since our foundation in 2012, we expanded our presence from Noida to Dubai, Abu Dhabi, London, Goodlettsville, USA, and Australia.  We are a Global family of 250+ members of dedicated thinkers working towards strategizing and executing digital ecosystems.",0
453,"Finacity Corporation provides accounts receivable securitization services for companies in the United States and internationally. It specializes in providing capital markets receivables funding programs, and servicing and collections in the investment banking and specialty financing industry. The company also offers accounts receivable servicing and collections options, including invoice verification and fraud detection, dispute resolution, pre-claim and post-claim collections, and customized reporting services. In addition, it provides deal structuring, administration, risk mitigation, and program management services, as well as daily, weekly, and monthly reporting services. The company has strategic partnerships with ABN AMRO Bank, Bank of America, Euler Hermes ACI, Amroc Investments, Avenue Capital, Ecoban, and Kleiner Perkins Caufield & Byers. Finacity Corporation serves its customers in North America, the European Union, Latin America, Europe, and Asia. The company was founded in 2001 and is based in Stamford, Connecticut with additional offices in New York, New York; Miami, Florida; and London, the United Kingdom.",1
472,"Since our inception in 2019, our company has a focus on enhancing and improving your life as a parent. The years go by quickly! Our products have a focus on maximizing your time as a parent.",0
1686,"Davivienda is a Colombian bank founded on August 1, 1972, which renders services to individuals, companies, and the rural sector. Currently, it is part of Grupo Bolivar and it is the third-largest bank in Colombia by assets and profits",1
2072,AthletesVoice is an Australian media company focused on rich and relatable sports storytelling.,0
596,"Earnin allows workers to access part of their earned wages before payday, avoiding costly overdraft fees.",1
1866,"With its five online trading platforms and its market research tools, SogoTrade provides its Customers with some of the best trading technology while delivering some of the lowest commissions in the industry. SogoTrade offers discounted online trades for as low as $3 for stocks and ETFs, and $5 for Options (plus 50¢ per contract). ",1
2831,"MYASTRO STORE, established in 2013, is one of the best IT Solution Companies you would want to hire in terms of IT related services such as Web Development, Application Development, Web Design, and SEO. We as a team of professionals will carry out vision by helping build your dreams with the use of the simple yet efficient working methodology.",0
1927,The College of Harstad at the University of Tromsø is a Norwegian state institution of higher education in Harstad in Norway. It serves residents of the Norwegian island of Harstad as well as foreigners who study there.,0
370,Kabbage provides lines of credit to small businesses using advanced data analysis to assess risk and creditworthiness.,1
2281,"Jumana Design is a healthcare service design and product strategy firm that aims to impact global health outcomes through design. We specialize in product strategy, UX design of digital health products, and service design for healthcare services. We service exceptional clients with global enterprises, government agencies, health systems, hospitals and payers, and high-growth startups.",0
1186,"Exchange foreign currency, pay international suppliers or employees through the Curexe platform or simply exchange currencies.",1
2107,"Falkon is building a new system of intelligence that empowers professionals to define, understand and improve metrics that really matter.",0
2550,"Address: 112 Prospect St, Cambridge, MA 02139, USA",0
1137,"Glint is a FinTech company making gold an alternative global currency by enabling its clients to save, exchange, spend and send multiple currencies including physical gold. It democratizes gold and makes it easy to cost effectively buy, sell, share and a viable option to spend. It provides multi-currency wallets, currency exchange, peer-to-peerpayments and for the first time the ability to instantly spend gold via the Glint Mastercard anywhere in the world Mastercard is accepted.",1
1627,"Leveraging technology, Schoolinka is designing exciting professional development opportunities for teachers. We are solving the problem of lack of teacher quality by creating online learning experiences and physical workshops for teachers. Teachers can now learn easily and affordably from anywhere.",0
2005,Innovators of sensors and connectivity for difficult environments. We are a Manufacturer and Solutions Integrator for IOT systems with partnerships around the globe to help connect things and solve business problems.,0
485,"PayBoost offers a revolutionary new way to make payments, by using your smartphone's camera to scan and pay for items.",1
931,"Evernote builds apps and products that are defining the way individuals and teams work today. As one workspace that lives across people's phone, tablet and computer, Evernote is the place people write free from distraction, collect information, find what they need and present their ideas to the world. Whatever peole are working toward, Evernoteâ€™s job is to make sure they get there.  Evernote is an independent, privately held company headquartered in Redwood City, California. Founded in 2007, Evernote products reach more than 100 million users worldwide. With nearly 400 employees and growing, they are always looking for talented individuals to join their global team.",1
987,"Detecting malicious Business Partners to avoid fraud and legal risks. sanctions.io is the simple, reliable and cost-effective solution for Business Partner Screenings against global Sanctions, PEP & other Watchlists. Simple to integrate, reliable Data & Technology, cost-effective TCO",1
1188,"Identitii is using tokenisation to connect banks and businesses with the data they need to process, reconcile and report on payments, reducing last mile hold ups. It is helping customers know when they will be paid, by whom and what for, putting them back in control of the payment process.",1
227,Fintech company that provides online bill pay and budgeting tools for consumers.,1
161,Stash is an investing app that makes it easy for anyone to start building wealth with just a few taps on their smartphone.,1
1217,Product development and data integrated solutions for the healthcare space.,0
226,"BUX is Europe’s fastest growing neobroker. BUX’s flagship platform, BUX Zero, is making commission-free investing more accessible and allows users to invest in the companies they believe in. BUX Zero is currently available in the Netherlands, Germany, Spain, Austria, France, Ireland and Belgium. The full range of BUX products, including BUX Crypto and BUX X, are available across 10 countries in Europe. Headquartered in Amsterdam, the Netherlands, the company is backed by Prosus Ventures, Tencent, HV Capital, and Velocity Capital Fintech Ventures.",1
2615,"Cymptom proactively measures the impact of cyber risk by mapping all attack paths before they happen. Cymptom’s platform maps critical risk to the MITRE ATT&CK® framework by using agentless data collection technology to continuously visualize all viable attack paths (on-prem and cloud). This technology intentionally avoids installing agents or running simulations to provide organizations with simple deployment, immediate value and always-on, pre-emptive cyber resilience to support business initiatives.",0
645,"Mitchell Asset Group is a real estate investment firm that specializes in house development and construction. The firm Also provides consultations to developer clients in which MAG is operating as a broker. It was founded in 2003 and headquartered in Fort Worth, Texas.",0
336,EnerPure is a cleantech energy company; a company that recycles waste petroleum into a clean source of fuel and energy while reducing greenhouse gas emissions.,0
261,"Altius Farms is a veteran-owned vertical urban farm, sustainably and efficiently growing food for the community. It delivers fresh, clean, hyper-local produce, year-round. The company was founded in 2015 and is headquartered in Denver, Colorado.",0
359,Acme Fintech provides innovative financial technology solutions to businesses of all sizes.,1
1639,"Cuachongmuoivietnhat is specializing in manufacturing & distributing, supplying and installing smart clothes drying racks, mosquito net doors, folding roofs, balcony safety nets.",0
965,Offers Klarisk (itsproprietary technology leveraging on Artifical Logic) that helps in engineering decisions from a risk-based perspective and keeping the risks associated to them under control.,1
1119,"Sun-Net focuses on software development and consulting services for the power and gas sector to enhance production and cost reduction. The company develops and supports software tools to enable utilities to achieve their goals for safety, reliability, and efficiency in grid operations",0
333,"Kiraplus offers tenant scoring solutions to landlords, realtors and property managers so they can instantly identify whether your tenants are financially responsible and reliable. Kiraplus tenants’ scores helps to decide the best tenant for your property by utilising background data, financial history and behavioral patterns. Through Kiraplus,tenants and landlords can also pay or collect rent online and access various alternative insurance and financial products.",1
1457,"PlantData is a knowledge graph data service provider, focusing on areas such as big data analysis and mining, industry knowledge graph suite research, cloud text analysis, etc., to provide users with Internet text extraction analysis, various types of data processing, and help industry users to transform their business models. It also provides users with word-of-mouth analysis, marketing, and behavioral decisions.",0
768,"Groupe Santiane is an insurance firm specialized in health insurance brokerage for individuals and companies. The firm relies on two core activities of direct-to-customer insurance brokerage through Santiane.fr and insurance wholesale with Néoliane Santé & Prévoyance.
In 2010, Groupe Santiane launched its B2B division, Néoliane Santé &Prévoyance, with the aim to distribute innovative health insurance solutions through a network of over 2000 partner brokers. The firm was founded in 2007 and is based in Nice, Provence-Alpes-Cote d’Azur.",1
132,"RankIntent is a leading digital marketing agency located in New Delhi. Founded in 2001, we’re a result-driven agency known for the use of proven methodologies, unique strategies and a 360-degree approach to digital marketing solutions. We deliver value through different services including search engine optimization (SEO), social media optimization (SMO), paid search marketing (PPC), content syndication, link building and website design and development. RankIntent is a trusted brand for your business growth through multi-disciplinary approach and expertise. We have a trained and knowledgeable team comprising SEO professionals, PPC experts, SMO masters, creative content writers, link building mavericks. Over the years, we have successfully provided top-class digital marketing services to big and small businesses from different industry verticals. We promise and achieve high levels of success with each client.",0
644,First Citizens Bank is the largest family controlled bank in the US.  It provides a wide range of products and services for individuals and businesses of all sizes.,1
1387,PlayDecent is an eSports platform that lets gamers compete with friends and random opponents directly or through tournaments.,0
493,Fintech Investments Platform that specializes in the alternative lending space in South-east Asia & Oceania. They are agnostic investors promoting industry's best practices through our strategic expertise. They provide lending capital to platform partners and enable them to transform the way corporates and consumers access credit today.,1
539,"Address: 212 Main Ave, Passaic, NJ 07055, USA",0
510,Use our free SEO on-page audit tool to generate free SEO reports & audits or white-label SEO reports for your clients. Embed our website audit tool on your agency's site to get more leads for your business.,0
428,"Corfinancial provides software and advice to the financial services sector around the world. It helps clients through its products and advisory services to run key parts of their operations and solve some of the critical business problems they contend with every day. It is headquartered in London with offices in Boston. It serves banking and financial services organisations across the UK, Europe, the United States, the Middle East and the Pacific Rim. Its software products and advice make a key difference to client front, back and middle offices.",1
2038,"BVDash is a cloud-based project management software designed for various industry verticals. The solution offers a dashboard that allows its users access to key project data in seconds. Key features include issue management, task management, cost control, project scheduling, project and program dashboards, program management, risk management, scope, document management, time sheets and much more.",0
2630,"Developer of a biometric payments platform designed to make in-store payments through encrypted palm scanning. The company's biometric payments platform connects the encrypted scan of palms to credit or debit cards for making payments via a touchscreen terminal, enabling retail stores and customers to have efficient payouts and ensuring fraud protection.",1
2588,"Gold Comet is a patented and secure information transmission system for individuals, businesses, and the government. Using state-of-the-art equipment housed in a FISMA High rated facility, proven 256-bit encryption and their patented dynamic key pair, Gold Comet strives to be the leader in secure communications for individuals and corporations who demand privacy and security in their online communications. Gold Comet was founded by a small team of IT specialists who envisioned a method of secure communications for individuals and corporations that surpassed the security standard currently seen in online communications.",0
1198,"Strike Graph is a compliance SAAS solution simplifying security certifications such as SOC 2 Type I/II. These certifications dramatically improve revenue for B2B companies. Our platform empowers companies to rapidly deploy a risk driven security program.  After setup Strike Graph collects evidence for auditor review via automation and api driven integration to common business systems & infrastructure.  Facilitated by the Strike Graph platform, key actors in the process including Risk Managers, CTO's, CISO's and Auditors can work collaboratively to achieve trust and move deals.",0
2004,"Govonestop® provides government news, information, and services.  “Govonestop is one of the world’s most promising startups.” - LeadingCities, QBE Insurance AcceliCITY 2020 program We help businesses and governments provide services to citizens. We provide web portals, SaaS and WaaS solutions, web sites and hosting, service and product listings, news, social media, advertising, and professional services.  We are a registered federal government and multi-state local government contractor.",0
673,"Passport is a transportation software and payments company that builds technology to more efficiently manage streets and sidewalks. Passport’s digital platform helps cities manage parking and mobility infrastructure, creating more livable, equitable communities.",1
956,"We aim to be the first carbon-neutral mobile service provider for companies and individuals. We do this by allowing them to calculate and offset the C02 their mobile subscription has on the planet and purchase certified refurbished devices to reduce the impact of buying new ones. We also repair/refurbish/ and resell used devices through our partner network into markets worldwide, where they can still be considered valuable through our partner network.",0
871,"FundGuard is an artificial intelligence powered and cloud based investment funds operating system. It helps asset and fund managers administer investments across mutual funds, ETFs, hedge funds, insurance, and pension. FundGuard leverages modern cloud technologies and a revolutionary multi-dimension real-time design to transform an underserved industry that is limited today by archaic, primarily on-premise, batch based and non-scalable technology. FundGuard revolutionizes investment funds technology with a next generation AI-powered platform. The platform offers game changing operational and technology efficiencies and paving way for financial and operational innovation.   The company is led by an experienced team with successful exits, who are investment funds industry experts, as well as machine learning and enterprise cloud systems technology leaders.",1
2850,"EverMind’s digital therapy overcomes treatment barriers to reach people with effective mental healthcare anytime, anywhere. We utilize technology developed for NASA to help astronauts in remote space to recreate the warmth and support of live therapy, keeping users engaged, and on track so they get results.",0
41,Digit is a financial management app that helps people save money automatically based on their spending habits.,1
1786,Tikkurila develops premium products and services that provide its customers with quality that will stand the test of time and weather.,0
1212,"Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology. Square builds tools to empower businesses and individuals to participate in the economy. Sellers use Square to reach buyers online and in-person, manage their business, and access financing. And individuals use Cash App to spend,spend, store, and invest money.",1
1313,Service Potential specialises in ITSM and system integration services for federal government clients. Service Potential is also a Premier Sales and Services ServiceNow Partner.,0
1342,"We invest in media companies that leverage audio as a core strategy to drive audience, brand, and revenue.",1
2119,"Thence is a dedicated Digital UI/UX Design Agency with emphasis on Deep User Research, Lean UX Design Methodology, and Continuous Optimization. Mission: With a mission to enable every business to offer the best of User Experience, our vision is to empower the next billion with usable technology.  In a nutshell, we are a Digital Success Partner. Our endeavour: to enable digital transformation by pioneering User Experience for the next billion users and driving product performance for businesses.",0
232,Acorns is an app that allows users to invest their spare change into a diversified portfolio of stocks and bonds.,1
309,Robinhood is a commission-free stock trading platform that also offers cryptocurrency trading.,1
1049,"Rico.com.vc is an online investment platform that offers financial products in an unbiased way. Users can invest and track your investments anytime, anywhere. Its platform is 100% online and users have access to all investments, market analysis, recommended portfolios, and more.",1
2102,"Address: 3535 Pauling Loop, Round Rock, TX 78665, USA",0
876,Direct-Response Marketing Agency serving local small businesses w/ ROI-focused campaigns & systems.,0
2330,"At Calista, we know you have the confidence and savvy to be your own stylist, so we make high-quality, user-friendly products and tools to help you get salon-quality results at home. From how-to videos and step-by-step style guides to helpful tips and tricks from our expert team, we make sure you’ve got everything you need to reach your personal hair goals and create the transformation you really want. Every product we make is paraben and sulfate free, not tested on animals, and infused with vitamins and minerals to keep your hair healthy and strong. All of our tools are created with a no-burn design and ceramic-ionic fusion technology that protects you and your hair from heat damage and creates longer-lasting styles. To keep it simple: everything we create is easy, effective, and good for your hair.",0
62,"Robinhood is a commission-free stock trading app that allows users to buy and sell stocks, ETFs, options, and cryptos.",1
2676,"Deposit in a flash! Whether you’re taking a study break, or waiting in line for your morning coffee, you can use the EasyDepositSM Mobile Check Capture to deposit checks anywhere.",1
1551,"App-based investment platform that allow consumers to invest in stocks, crypto, and metals",1
1365,The Company is an e-commerce service provider engaged in the development of software products and other services designed to help businesses sell products over the internet.,1
1886,"Address: 1 Gold Mine Rd, Flanders, NJ 07836, USA",0
2875,Statewide Novated Leasing is a financial services company that is a LocalBuy approved supplier of salary packaging services.,1
387,"Amaryllis has developed a payment engine to support platform models. Built from the ground up, our customized and modular solution solves the unique business needs of each acquirer or 3rd party payment model. Providing critical functionality such as: instant boarding, split payments, payout management, reconciliation, and more.",1
1096,Dr. Holcomb is a Facial Plastic and Cosmetic Laser Surgery specialist and Dr. Kreithen is a Plastic (Breast and Body Contouring) and Cosmetic Laser Surgery specialist. While many of the procedures offered are performed in our state-of-the-art AAAASF Certified outpatient surgical facility the doctors have privileges at local hospitals (e.g. Lakewood Ranch Medical Center and Sarasota Memorial Hospital) to accommodate patients needing general anesthesia and/or overnight stays.,0
954,Pay is a payment gateway that offers secure online payment solutions to various E-commerce businesses.,1
1878,"Address: 7205 Estero Blvd, #707, Fort Myers Beach, FL 33931, USA",0
764,Bank of China Singapore Branch holds the Qualifying Full Bank License in Singapore.,1
2362,"300 million people globally pay excessive fees when they send money. Sendit.money is building a cost-effective mobile wallet providing an intuitive, secure, and inexpensive way to send & receive money. Having created a prototype for African markets. They are now raising to bring this product to market.",1
741,"Acryness is an information technology company which provides a full range of billing support and payment processing solutions for large and small B2C billers with a core emphasis serving the healthcare community. Services include data processing support, bill printing & mailing, online presentment & payment, web integration, remittance processing, return mail processing services and Acryness analytics.",1
880,The Krishi is an AI-based mobile app that educating farmers about modern agricultural practices.,0
2307,ClinFocus is a data management and analytics company that provides end to end solutions including the use of machine learning and artificial intelligience to provide valuable insights.,0
19,Provides home loans and advisors in the process of housing loans,1
2336,"Nyoka Design Labs leverages advances in clean tech to build inspiring, earth-friendly innovations. Starting with the Nyoka Light Wand, a non-toxic glow stick powered with bioluminescence, to prevent the billion toxic, single-use plastic glow sticks that enter our environment every single year.",0
2279,"Amadeus Fire is a specialised personnel service provider in Germany. Amadeus FiRe offers specialist temporary staffing, permanent placement and interim management services.",0
1643,"NETOPIA System is the leading company offering mobile based services in Romania. A young team of professionals have growth a successful story in no more than 5 years. Today, NETOPIA System has a turnover of more than 2.5Milion Euro, offices in Bucharest Romania and Palo Alto CA , a dedicated team of 10 people and several top services available.Netopia is committed to lead the mobile revolution in Romania and to extend our services on a global scale.",1
1297,Canada’s biggest moving companies marketplace for furniture removals and home moves. Where customers with large or heavy deliveries find local moving companies and a man with a van with just one enquiry.,0
2454,Our mobile wallet enables the un-insured to access and buy fordable micro and macro-insurance products seamlessly. The platform interconnects users with all entities in the insurance value chain to allow collaboration in real-time to quick up claim settlement process. Users can use the savings feature in the wallet to store money and dedicate it to pay for emergencies.,1
2499,"Major League Polo (''MLP'') is a U.S. pro sports league based in Atlanta, GA fielding 16 U.S. city-based coed teams in its American and National Polo Conference brackets. There are 96 Matches, 2 Semi-Finals and 1 Final event hosted in the U.S., the MLP World Series of Polo - World Cup Event.",0
2629,Expr3ss! is recruiting software with predictive hiring technology capabilities which enhances the selection process through algorithms and AI psychometric matching based on exemplar staff within role. This greatly enhances employees retention and speeds up hiring-decisions in the recruitment process. This predictive hiring recruitment platform is the front-end integration of an Applicant Tracking System (ATS) that is the next-generation of predictive software that aids human decisions.,0
1331,Book a table in Pakistan and find the best restaurants in Lahore and Twin cities. Get incredible offers on online restaurants reservation.,0
585,"We provide a complete solution to the futuristic world, by providing INDUSTRIAL TRAINING,  E-COMMERCE support, and futuristic rooms to the customers.",0
171,Irish Daily Star is a newspaper publishing company.,0
925,"PerformLine is a leading provider of compliance technology that empowers organizations to mitigate regulatory risk across their sales and marketing channels, including the web, calls, messages, emails, documents, and social media. PerformLine automates the path to discover, monitor, and mitigate consumer protection risks and ensure brand safety. The PerformLine SaaS platform features full workflow capabilities, real-time analytics, remediation, monitoring, and archiving while providing significant time and cost savings by automating compliance activities across channels and departments.",1
2658,-,1
2115,"Born out of the need for wider connections between buyers and sellers of properties, FindMeProp was founded to fill in that gap. But it will not be what it is today without the creative minds who know and recognize no boundaries if it is for the sake of connectivity. Our dynamic team is comprised of resourceful, highly dedicated, and genuinely passionate individuals who are fueled to achieve success in what we do. Our team members work under the fervent belief that success in real estate and in connecting buyers and sellers can only be achieved through collaboration and teamwork. In the past 10 years alone, we have already succeeded in completing more than 50 projects— a proof that challenges don’t scare us; they motivate us! FindMeProp is headed by the visionary, Lai Chuen Chee, also known as Cliff Lai. His 10 years of experience in business entrepreneurship and 18 years of experience in Information Technology, particularly in sales & marketing, technical consultation and operation have been helping him lead and successfully grow FindMeProp.",0
1147,"Jenius is Banking Reinvented for you to have a full control in managing life and finances in a simpler, smarter, and safer way, from your smartphone. You are not only be able to open a saving account using your smartphone without having to go to the bank, but also you will find new ways to organize Life Finance with $Cashtag, Dream Saver, Send It, Pay Me, Split Bill, e-Card, and other features.",1
201,"We are a one stop shop for leading Merchants selling goods or services over the internet globally. If you need to increase your sales and collect funds from consumers globally, join us. We offer state of the art payment solutions for internet merchants.",1
2376,"For over 30 years, Chadha has been at the center of the Oriental Food industry. With their continued presence and role as a leading importer and distributor in this field, their respect and understanding of the UK ethnic market are integral.",0
1192,"The company’s first product is Sixto, the sixth robotic finger, a wearable grasping technology that can enhance hand ability and support everyday live activities. As a wearable light manipulator with a single degree of freedom, Sixto can create a hybrid grasping between the body and the robotic finger. This way, the device can perform different functionalities, as augmenting the grasping ability of the hand, adding an intelligent holding point on body, becoming a wearable tool by a personalization of the ending module of the finger, or extending the grip away from the hand in potentials dangerous environments.",0
2537,Dynacom is a bioinformatics company that provides life-science research organizations with high performance software for DNA sequence analysis.,0
2161,"Address: 1595 Sam Rittenberg Blvd, Charleston, SC 29407, USA",0
477,"Our team uses machine learning and data science to identify the best, safest loans in the $100 billion marketplace lending space. We use these insights to manage capital and advise investors on purchasing the best risk-adjusted loans and create stable portfolios across the business cycle",1
1584,"Delivers secure global solutions that simplify the connections that make commerce possible—so business owners can process secure payments, pay-at-the-pump merchants can increase their business cash flow, or governments can serve their constituents easier than ever before. ",1
335,"Osterus treats every aspect of a resume as a data point, whether it is the education, languages, email address, hobbies, work experience, spelling and structure - we analyse and correlate the data. This does not only position us within the H.R. space but offers us to provide data in two completely separate areas, all representing lucrative markets.",0
2503,Pagantis is the leading flexible payments solution in Southern Europe. Regulated by Spain's national bank.,1
2784,Taxameter Centrale B.V is an automobility services firm that deals in automobile parking services and the sale of auto parts.,1
378,"OnDeck is an online lender for small business loans, with rates and terms determined by an algorithm instead of human underwriters.",1
932,Giftee Malaysia provides eGfit system F&B and Retail Company.,0
2003,"InnoTech Solutions is a Web Design & Development Company that develops custom software to enable our clients to operate more effectively, more efficiently, and with more resiliency.  Since 2016, InnoTech Solutions has developed web and mobile software solutions that have been key to our clients' business success.  Our technology and industry expertise enables us to deliver sophisticated solutions rapidly and on budget.  For us, it is not only about delivering software but also about partnering and playing a part in business efforts to shape a brighter and smarter future.",0
2725,"smava, one of the credit comparison portals in Germany, continued the strong growth path of previous years in 2019: The brokered loan volume grew by 35% from around €2b in 2018 to around €2.7b. Likewise, smava grew again significantly in the first quarter of 2020: smava was able to increase the loan volume brokered by 45% compared to the same quarter of the previous year to approx. €900m. In total, smava has already brokered more than €8b in loans.",1
